income,age,yrsed,edcat,yrsempl,creddebt,othdebt,default,jobsat,homeown,address,cars,carvalue
2.772588722239781,1.0,0.4117647058823529,0.25,0.6538461538461539,0.4755530007761098,0.42403378536385644,0.0,0.75,0.0,0.7719298245614035,0.16666666666666666,0.35450129829977345
3.58351893845611,0.11475409836065575,0.7058823529411765,0.75,0.0,0.7176227129488815,0.5328611804744605,1.0,0.25,1.0,0.07017543859649122,0.0,0.6201053539153216
4.127134385045092,0.2622950819672132,0.7647058823529412,0.75,0.057692307692307696,0.6324128658771272,0.617073773871071,1.0,0.25,1.0,0.14035087719298245,0.0,0.5942090819101444
3.044522437723423,0.7704918032786886,0.6470588235294118,0.75,0.44230769230769235,0.5665711854437029,0.4577581131446494,0.0,0.75,0.0,0.21052631578947367,0.16666666666666666,0.39182813829601487
2.5649493574615367,0.18032786885245905,0.6470588235294118,0.75,0.057692307692307696,0.43665775025044196,0.3847110817735855,0.0,0.5,1.0,0.10526315789473684,0.0,0.22052144672570084
3.4657359027997265,0.29508196721311475,0.5294117647058824,0.5,0.038461538461538464,0.5833205432634828,0.594880315945313,1.0,0.25,1.0,0.2631578947368421,0.33333333333333337,0.5252721756031304
3.295836866004329,0.8852459016393442,0.823529411764706,1.0,0.038461538461538464,0.6022461958218576,0.47861342460914436,0.0,0.0,0.0,0.7192982456140351,0.0,0.4124097514737545
3.7376696182833684,0.7049180327868853,0.4117647058823529,0.25,0.11538461538461539,0.7440344171874466,0.6534582753720661,1.0,0.5,0.0,0.21052631578947367,0.16666666666666666,0.66245061550754
3.4339872044851463,0.639344262295082,0.5294117647058824,0.5,0.3076923076923077,0.5126826008025508,0.4107149761997924,0.0,0.75,0.0,0.21052631578947367,0.16666666666666666,0.4816033042378464
3.091042453358316,0.21311475409836067,0.3529411764705882,0.25,0.07692307692307693,0.3192659510077028,0.31433539899780705,1.0,1.0,1.0,0.12280701754385964,0.0,0.44494640328389995
3.332204510175204,0.9508196721311476,0.2941176470588236,0.0,0.46153846153846156,0.64724591497481,0.48343605877879026,0.0,1.0,0.0,0.05263157894736842,0.16666666666666666,0.47583865477051485
4.127134385045092,0.5409836065573771,0.7647058823529412,0.75,0.09615384615384616,0.5772229864991032,0.5167891881113947,0.0,0.25,1.0,0.3684210526315789,0.0,0.6947168991118453
3.295836866004329,0.459016393442623,0.47058823529411764,0.25,0.13461538461538464,0.5202453463550823,0.4220397221078299,0.0,0.25,1.0,0.43859649122807015,0.33333333333333337,0.5252721756031304
3.8066624897703196,0.29508196721311475,0.5882352941176471,0.5,0.09615384615384616,0.6898224260566969,0.6064545461150888,1.0,0.75,0.0,0.08771929824561403,0.0,0.696398193282276
2.995732273553991,0.016393442622950838,0.47058823529411764,0.25,0.0,0.5666391043181473,0.5449177478094194,1.0,0.5,1.0,0.0,0.33333333333333337,0.4197296961193879
5.564520407322694,0.5573770491803279,0.823529411764706,1.0,0.13461538461538464,0.7830333913588783,0.6913129139773133,1.0,0.5,1.0,0.3684210526315789,0.0,0.9970872079054747
4.382026634673881,0.5245901639344263,0.5294117647058824,0.5,0.3269230769230769,0.5792708716591761,0.4646685794936417,0.0,0.5,1.0,0.40350877192982454,0.0,0.7851268622733885
5.2574953720277815,0.5737704918032788,0.7647058823529412,0.75,0.3269230769230769,0.6922088471733188,0.7996822775694055,0.0,0.75,1.0,0.22807017543859648,0.33333333333333337,0.9774656862930453
2.3978952727983707,0.7868852459016394,0.17647058823529416,0.0,0.6730769230769231,0.2600178761828613,0.29072233043020923,0.0,0.75,1.0,0.5964912280701754,0.16666666666666666,0.24969381668912782
4.356708826689592,0.21311475409836067,0.7058823529411765,0.75,0.07692307692307693,0.6090391126372177,0.5607426653722258,0.0,0.5,1.0,0.10526315789473684,0.5,0.7374268464021856
